ProductId,ProductName,ProductDescription,UnitPrice,StockQuantity,CategoryId,CountryOfOrigin,ProductImageUrl
12,Profesyonel Dolma Kalem,"Dolma Kalem kategorisinde profesyonel kalite sunan, Netherlands menşeli harika bir ürün.",413.77,694,11,Türkiye,https://picsum.photos/seed/12/200
13,Dayanıklı Pamuklu T-Shirt,"Pamuklu T-Shirt kategorisinde dayanıklı kalite sunan, Germany menşeli harika bir ürün.",490.21,250,6,France,https://picsum.photos/seed/13/200
14,Dayanıklı Akıllı Saat,"Akıllı Saat kategorisinde dayanıklı kalite sunan, Netherlands menşeli harika bir ürün.",3358.4,356,1,Netherlands,https://picsum.photos/seed/14/200
15,Dayanıklı Tablet Bilgisayar,"Tablet Bilgisayar kategorisinde dayanıklı kalite sunan, Türkiye menşeli harika bir ürün.",3020.16,175,3,Germany,https://picsum.photos/seed/15/200
16,Premium Piyano,"Piyano kategorisinde premium kalite sunan, France menşeli harika bir ürün.",21919.47,411,15,Italy,https://picsum.photos/seed/16/200
17,Ergonomik Davul Bageti,"Davul Bageti kategorisinde ergonomik kalite sunan, Spain menşeli harika bir ürün.",20094.84,387,15,Germany,https://picsum.photos/seed/17/200
18,Profesyonel Ofis Sandalyesi,"Ofis Sandalyesi kategorisinde profesyonel kalite sunan, Italy menşeli harika bir ürün.",7482.26,797,5,Spain,https://picsum.photos/seed/18/200
19,Ergonomik Projeksiyon Cihazı,"Projeksiyon Cihazı kategorisinde ergonomik kalite sunan, Germany menşeli harika bir ürün.",11923.23,552,1,Netherlands,https://picsum.photos/seed/19/200
20,Yeni Sezon Futbol Topu,"Futbol Topu kategorisinde yeni sezon kalite sunan, Netherlands menşeli harika bir ürün.",516.14,341,9,France,https://picsum.photos/seed/20/200
21,Ultra Yoga Matı,"Yoga Matı kategorisinde ultra kalite sunan, Netherlands menşeli harika bir ürün.",3165.17,789,9,Italy,https://picsum.photos/seed/21/200
22,Ultra Piyano,"Piyano kategorisinde ultra kalite sunan, Germany menşeli harika bir ürün.",20827.52,311,15,Netherlands,https://picsum.photos/seed/22/200
23,Yüksek Performanslı Ceket,"Ceket kategorisinde yüksek performanslı kalite sunan, Spain menşeli harika bir ürün.",1774.78,38,6,France,https://picsum.photos/seed/23/200
24,Kompakt Makyaj Seti,"Makyaj Seti kategorisinde kompakt kalite sunan, Netherlands menşeli harika bir ürün.",342.78,188,8,Netherlands,https://picsum.photos/seed/24/200
25,Premium Araç İçi Kamera,"Araç İçi Kamera kategorisinde premium kalite sunan, Spain menşeli harika bir ürün.",3590.54,164,12,France,https://picsum.photos/seed/25/200
26,Yüksek Performanslı Ofis Sandalyesi,"Ofis Sandalyesi kategorisinde yüksek performanslı kalite sunan, Italy menşeli harika bir ürün.",24768.68,922,5,Netherlands,https://picsum.photos/seed/26/200
27,Premium Kahve Makinesi,"Kahve Makinesi kategorisinde premium kalite sunan, Germany menşeli harika bir ürün.",14247.42,172,4,Netherlands,https://picsum.photos/seed/27/200
28,Yeni Sezon Güneş Gözlüğü,"Güneş Gözlüğü kategorisinde yeni sezon kalite sunan, Italy menşeli harika bir ürün.",29472.85,878,14,France,https://picsum.photos/seed/28/200
29,Profesyonel Ütü,"Ütü kategorisinde profesyonel kalite sunan, Türkiye menşeli harika bir ürün.",3609.82,491,4,Netherlands,https://picsum.photos/seed/29/200
30,Lüks Yoga Matı,"Yoga Matı kategorisinde lüks kalite sunan, Netherlands menşeli harika bir ürün.",7554.93,666,9,Italy,https://picsum.photos/seed/30/200
31,Profesyonel Kuş Kafesi,"Kuş Kafesi kategorisinde profesyonel kalite sunan, France menşeli harika bir ürün.",1888.27,263,13,Italy,https://picsum.photos/seed/31/200
32,Orijinal Deri Bot,"Deri Bot kategorisinde orijinal kalite sunan, Italy menşeli harika bir ürün.",3869.68,693,7,Italy,https://picsum.photos/seed/32/200
33,Kompakt Koşu Bandı,"Koşu Bandı kategorisinde kompakt kalite sunan, Italy menşeli harika bir ürün.",2481.54,755,9,Italy,https://picsum.photos/seed/33/200
34,Ergonomik Gömlek,"Gömlek kategorisinde ergonomik kalite sunan, Spain menşeli harika bir ürün.",503.82,742,6,Türkiye,https://picsum.photos/seed/34/200
35,Kompakt Harici Harddisk,"Harici Harddisk kategorisinde kompakt kalite sunan, Germany menşeli harika bir ürün.",53077.8,686,2,France,https://picsum.photos/seed/35/200
36,Ultra Altın Küpe,"Altın Küpe kategorisinde ultra kalite sunan, Spain menşeli harika bir ürün.",10996.85,706,14,Germany,https://picsum.photos/seed/36/200
37,Profesyonel Lambader,"Lambader kategorisinde profesyonel kalite sunan, Spain menşeli harika bir ürün.",9217.88,908,5,Netherlands,https://picsum.photos/seed/37/200
38,Premium 27 inç Monitör,"27 inç Monitör kategorisinde premium kalite sunan, Türkiye menşeli harika bir ürün.",45610.76,309,2,Spain,https://picsum.photos/seed/38/200
39,Ergonomik Keman,"Keman kategorisinde ergonomik kalite sunan, Italy menşeli harika bir ürün.",13889.68,117,15,Germany,https://picsum.photos/seed/39/200
40,Akıllı Makyaj Seti,"Makyaj Seti kategorisinde akıllı kalite sunan, Netherlands menşeli harika bir ürün.",1249.88,509,8,Türkiye,https://picsum.photos/seed/40/200
41,Ultra Lastik Parlatıcı,"Lastik Parlatıcı kategorisinde ultra kalite sunan, Netherlands menşeli harika bir ürün.",2922.45,765,12,France,https://picsum.photos/seed/41/200
42,Profesyonel Yapboz (Puzzle),"Yapboz (Puzzle) kategorisinde profesyonel kalite sunan, Spain menşeli harika bir ürün.",1310.55,590,10,Netherlands,https://picsum.photos/seed/42/200
43,Yeni Sezon Robot Süpürge,"Robot Süpürge kategorisinde yeni sezon kalite sunan, Germany menşeli harika bir ürün.",10071.88,288,4,Italy,https://picsum.photos/seed/43/200
44,Dayanıklı Telefon Kılıfı,"Telefon Kılıfı kategorisinde dayanıklı kalite sunan, Italy menşeli harika bir ürün.",39959.96,210,3,Netherlands,https://picsum.photos/seed/44/200
45,Lüks Şampuan,"Şampuan kategorisinde lüks kalite sunan, Spain menşeli harika bir ürün.",516.38,432,8,Türkiye,https://picsum.photos/seed/45/200
46,Premium Güneş Kremi,"Güneş Kremi kategorisinde premium kalite sunan, Türkiye menşeli harika bir ürün.",1532.17,473,8,Spain,https://picsum.photos/seed/46/200
47,Dayanıklı Pamuklu T-Shirt,"Pamuklu T-Shirt kategorisinde dayanıklı kalite sunan, Spain menşeli harika bir ürün.",2022.76,16,6,Germany,https://picsum.photos/seed/47/200
48,Premium Elektro Gitar,"Elektro Gitar kategorisinde premium kalite sunan, Spain menşeli harika bir ürün.",14136.71,956,15,Netherlands,https://picsum.photos/seed/48/200
49,Ekonomik USB Bellek,"USB Bellek kategorisinde ekonomik kalite sunan, Spain menşeli harika bir ürün.",24966.33,888,2,Netherlands,https://picsum.photos/seed/49/200
50,Kompakt Akustik Gitar,"Akustik Gitar kategorisinde kompakt kalite sunan, Germany menşeli harika bir ürün.",22815.37,617,15,France,https://picsum.photos/seed/50/200
51,Lüks Roman Kitabı,"Roman Kitabı kategorisinde lüks kalite sunan, France menşeli harika bir ürün.",20.78,889,11,Italy,https://picsum.photos/seed/51/200
52,Premium Silecek Takımı,"Silecek Takımı kategorisinde premium kalite sunan, France menşeli harika bir ürün.",1079.61,821,12,Türkiye,https://picsum.photos/seed/52/200
53,Yüksek Performanslı Powerbank,"Powerbank kategorisinde yüksek performanslı kalite sunan, Italy menşeli harika bir ürün.",49297.65,832,3,Türkiye,https://picsum.photos/seed/53/200
54,Premium Elbise,"Elbise kategorisinde premium kalite sunan, France menşeli harika bir ürün.",968.91,236,6,Netherlands,https://picsum.photos/seed/54/200
55,Orijinal Blender,"Blender kategorisinde orijinal kalite sunan, Spain menşeli harika bir ürün.",2578.22,307,4,Türkiye,https://picsum.photos/seed/55/200
56,Ultra Bilim Kitabı,"Bilim Kitabı kategorisinde ultra kalite sunan, France menşeli harika bir ürün.",342.65,413,11,Spain,https://picsum.photos/seed/56/200
57,Ultra Kitaplık,"Kitaplık kategorisinde ultra kalite sunan, France menşeli harika bir ürün.",24292.16,695,5,Netherlands,https://picsum.photos/seed/57/200
58,Dayanıklı 4K Smart TV,"4K Smart TV kategorisinde dayanıklı kalite sunan, Netherlands menşeli harika bir ürün.",28541.54,248,1,Türkiye,https://picsum.photos/seed/58/200
59,Kompakt Bluetooth Hoparlör,"Bluetooth Hoparlör kategorisinde kompakt kalite sunan, Türkiye menşeli harika bir ürün.",18862.11,24,1,Germany,https://picsum.photos/seed/59/200
60,Profesyonel Projeksiyon Cihazı,"Projeksiyon Cihazı kategorisinde profesyonel kalite sunan, Türkiye menşeli harika bir ürün.",2485.1,937,1,Italy,https://picsum.photos/seed/60/200
61,Lüks Dijital Kamera,"Dijital Kamera kategorisinde lüks kalite sunan, Germany menşeli harika bir ürün.",13107.72,823,1,Germany,https://picsum.photos/seed/61/200
62,Yeni Sezon Topuklu Ayakkabı,"Topuklu Ayakkabı kategorisinde yeni sezon kalite sunan, Spain menşeli harika bir ürün.",482.13,254,7,Germany,https://picsum.photos/seed/62/200
63,Kompakt Ukulele,"Ukulele kategorisinde kompakt kalite sunan, Germany menşeli harika bir ürün.",4560.32,720,15,France,https://picsum.photos/seed/63/200
64,Dayanıklı Bisiklet,"Bisiklet kategorisinde dayanıklı kalite sunan, Türkiye menşeli harika bir ürün.",5596.14,131,9,Spain,https://picsum.photos/seed/64/200
65,Kompakt Ütü,"Ütü kategorisinde kompakt kalite sunan, Germany menşeli harika bir ürün.",11388.31,743,4,Spain,https://picsum.photos/seed/65/200
66,Ultra SSD Disk,"SSD Disk kategorisinde ultra kalite sunan, Germany menşeli harika bir ürün.",1570.9,363,2,Spain,https://picsum.photos/seed/66/200
67,Ultra Akıllı Bileklik,"Akıllı Bileklik kategorisinde ultra kalite sunan, France menşeli harika bir ürün.",27785.26,235,14,Türkiye,https://picsum.photos/seed/67/200
68,Lüks Kedi Kumu,"Kedi Kumu kategorisinde lüks kalite sunan, Spain menşeli harika bir ürün.",690.48,9,13,Netherlands,https://picsum.photos/seed/68/200
69,Lüks Makyaj Seti,"Makyaj Seti kategorisinde lüks kalite sunan, Türkiye menşeli harika bir ürün.",1381.8,140,8,Türkiye,https://picsum.photos/seed/69/200
70,Premium SSD Disk,"SSD Disk kategorisinde premium kalite sunan, France menşeli harika bir ürün.",15997.43,361,2,Germany,https://picsum.photos/seed/70/200
71,Akıllı SSD Disk,"SSD Disk kategorisinde akıllı kalite sunan, Türkiye menşeli harika bir ürün.",29012.85,891,2,France,https://picsum.photos/seed/71/200
72,Profesyonel Projeksiyon Cihazı,"Projeksiyon Cihazı kategorisinde profesyonel kalite sunan, Türkiye menşeli harika bir ürün.",25614.3,981,1,Italy,https://picsum.photos/seed/72/200
73,Ergonomik Bisiklet,"Bisiklet kategorisinde ergonomik kalite sunan, Türkiye menşeli harika bir ürün.",664.69,746,9,Türkiye,https://picsum.photos/seed/73/200
74,Ergonomik Uzaktan Kumandalı Araba,"Uzaktan Kumandalı Araba kategorisinde ergonomik kalite sunan, Italy menşeli harika bir ürün.",1058.04,988,10,Netherlands,https://picsum.photos/seed/74/200
75,Yeni Sezon Deri Saat,"Deri Saat kategorisinde yeni sezon kalite sunan, Germany menşeli harika bir ürün.",20390.78,601,14,France,https://picsum.photos/seed/75/200
76,Yüksek Performanslı Topuklu Ayakkabı,"Topuklu Ayakkabı kategorisinde yüksek performanslı kalite sunan, France menşeli harika bir ürün.",1256.71,638,7,Germany,https://picsum.photos/seed/76/200
77,Orijinal Dolma Kalem,"Dolma Kalem kategorisinde orijinal kalite sunan, France menşeli harika bir ürün.",100.99,750,11,Germany,https://picsum.photos/seed/77/200
78,Ekonomik Günlük Sneaker,"Günlük Sneaker kategorisinde ekonomik kalite sunan, Spain menşeli harika bir ürün.",3792.37,511,7,Italy,https://picsum.photos/seed/78/200
79,Yüksek Performanslı Blender,"Blender kategorisinde yüksek performanslı kalite sunan, Netherlands menşeli harika bir ürün.",7395.08,6,4,Italy,https://picsum.photos/seed/79/200
80,Premium Güneş Gözlüğü,"Güneş Gözlüğü kategorisinde premium kalite sunan, France menşeli harika bir ürün.",49224.48,327,14,Spain,https://picsum.photos/seed/80/200
81,Ekonomik Dambıl Seti,"Dambıl Seti kategorisinde ekonomik kalite sunan, Netherlands menşeli harika bir ürün.",6287.49,668,9,Germany,https://picsum.photos/seed/81/200
82,Premium Makyaj Seti,"Makyaj Seti kategorisinde premium kalite sunan, France menşeli harika bir ürün.",1453.0,359,8,Türkiye,https://picsum.photos/seed/82/200
83,Ultra Köpek Tasması,"Köpek Tasması kategorisinde ultra kalite sunan, France menşeli harika bir ürün.",1525.9,463,13,Italy,https://picsum.photos/seed/83/200
84,Yeni Sezon Ses Sistemi,"Ses Sistemi kategorisinde yeni sezon kalite sunan, Türkiye menşeli harika bir ürün.",20804.62,976,1,Spain,https://picsum.photos/seed/84/200
85,Akıllı Spor Ayakkabı,"Spor Ayakkabı kategorisinde akıllı kalite sunan, France menşeli harika bir ürün.",1140.0,7,7,Netherlands,https://picsum.photos/seed/85/200
86,Kompakt 4K Smart TV,"4K Smart TV kategorisinde kompakt kalite sunan, Türkiye menşeli harika bir ürün.",19013.81,555,1,France,https://picsum.photos/seed/86/200
87,Orijinal USB Bellek,"USB Bellek kategorisinde orijinal kalite sunan, Germany menşeli harika bir ürün.",39264.59,36,2,Germany,https://picsum.photos/seed/87/200
88,Akıllı SSD Disk,"SSD Disk kategorisinde akıllı kalite sunan, Italy menşeli harika bir ürün.",56132.91,746,2,Germany,https://picsum.photos/seed/88/200
89,Lüks Akıllı Saat,"Akıllı Saat kategorisinde lüks kalite sunan, Spain menşeli harika bir ürün.",25823.13,586,1,France,https://picsum.photos/seed/89/200
90,Lüks Pamuklu T-Shirt,"Pamuklu T-Shirt kategorisinde lüks kalite sunan, Germany menşeli harika bir ürün.",1462.17,857,6,Spain,https://picsum.photos/seed/90/200
91,Yüksek Performanslı Altın Küpe,"Altın Küpe kategorisinde yüksek performanslı kalite sunan, Netherlands menşeli harika bir ürün.",2996.99,723,14,Türkiye,https://picsum.photos/seed/91/200
92,Yeni Sezon Projeksiyon Cihazı,"Projeksiyon Cihazı kategorisinde yeni sezon kalite sunan, Italy menşeli harika bir ürün.",14285.73,814,1,Spain,https://picsum.photos/seed/92/200
93,Yüksek Performanslı Kamp Çadırı,"Kamp Çadırı kategorisinde yüksek performanslı kalite sunan, Netherlands menşeli harika bir ürün.",9356.83,718,9,Germany,https://picsum.photos/seed/93/200
94,Premium Kahve Makinesi,"Kahve Makinesi kategorisinde premium kalite sunan, France menşeli harika bir ürün.",1203.52,378,4,Spain,https://picsum.photos/seed/94/200
95,Ekonomik Defter,"Defter kategorisinde ekonomik kalite sunan, Spain menşeli harika bir ürün.",291.89,621,11,Netherlands,https://picsum.photos/seed/95/200
96,Ergonomik Ses Sistemi,"Ses Sistemi kategorisinde ergonomik kalite sunan, Netherlands menşeli harika bir ürün.",39284.96,183,1,Spain,https://picsum.photos/seed/96/200
97,Kompakt 27 inç Monitör,"27 inç Monitör kategorisinde kompakt kalite sunan, Türkiye menşeli harika bir ürün.",2386.96,372,2,Italy,https://picsum.photos/seed/97/200
98,Ekonomik Çalışma Masası,"Çalışma Masası kategorisinde ekonomik kalite sunan, Türkiye menşeli harika bir ürün.",7688.18,731,5,Türkiye,https://picsum.photos/seed/98/200
99,Ultra Günlük Sneaker,"Günlük Sneaker kategorisinde ultra kalite sunan, Türkiye menşeli harika bir ürün.",574.38,591,7,Spain,https://picsum.photos/seed/99/200
100,Dayanıklı Kedi Maması,"Kedi Maması kategorisinde dayanıklı kalite sunan, Türkiye menşeli harika bir ürün.",449.77,945,13,Italy,https://picsum.photos/seed/100/200
101,Yeni Sezon Kamp Çadırı,"Kamp Çadırı kategorisinde yeni sezon kalite sunan, Netherlands menşeli harika bir ürün.",8794.48,117,9,Netherlands,https://picsum.photos/seed/101/200
102,Akıllı Şampuan,"Şampuan kategorisinde akıllı kalite sunan, Türkiye menşeli harika bir ürün.",194.46,525,8,France,https://picsum.photos/seed/102/200
103,Ergonomik Tıraş Makinesi,"Tıraş Makinesi kategorisinde ergonomik kalite sunan, France menşeli harika bir ürün.",1746.55,880,8,Netherlands,https://picsum.photos/seed/103/200
104,Dayanıklı Kışlık Mont,"Kışlık Mont kategorisinde dayanıklı kalite sunan, Türkiye menşeli harika bir ürün.",836.22,873,6,France,https://picsum.photos/seed/104/200
105,Profesyonel Köpek Tasması,"Köpek Tasması kategorisinde profesyonel kalite sunan, Spain menşeli harika bir ürün.",1259.08,946,13,Türkiye,https://picsum.photos/seed/105/200
106,Yüksek Performanslı Bisiklet,"Bisiklet kategorisinde yüksek performanslı kalite sunan, Germany menşeli harika bir ürün.",9574.55,588,9,France,https://picsum.photos/seed/106/200
107,Lüks Oyun Laptopu,"Oyun Laptopu kategorisinde lüks kalite sunan, Türkiye menşeli harika bir ürün.",59149.93,56,2,Germany,https://picsum.photos/seed/107/200
108,Yüksek Performanslı Dijital Kamera,"Dijital Kamera kategorisinde yüksek performanslı kalite sunan, Spain menşeli harika bir ürün.",20271.43,866,1,Netherlands,https://picsum.photos/seed/108/200
109,Yüksek Performanslı Hızlı Şarj Aleti,"Hızlı Şarj Aleti kategorisinde yüksek performanslı kalite sunan, Italy menşeli harika bir ürün.",37953.61,35,3,Italy,https://picsum.photos/seed/109/200
110,Yeni Sezon Akıllı Saat,"Akıllı Saat kategorisinde yeni sezon kalite sunan, France menşeli harika bir ürün.",33700.25,889,1,Spain,https://picsum.photos/seed/110/200
111,Profesyonel Mekanik Klavye,"Mekanik Klavye kategorisinde profesyonel kalite sunan, Netherlands menşeli harika bir ürün.",22993.76,425,2,Spain,https://picsum.photos/seed/111/200
112,Kompakt Elektro Gitar,"Elektro Gitar kategorisinde kompakt kalite sunan, France menşeli harika bir ürün.",4977.22,676,15,Türkiye,https://picsum.photos/seed/112/200
113,Ergonomik Dolma Kalem,"Dolma Kalem kategorisinde ergonomik kalite sunan, Germany menşeli harika bir ürün.",192.58,294,11,Türkiye,https://picsum.photos/seed/113/200
114,Kompakt Köpek Tasması,"Köpek Tasması kategorisinde kompakt kalite sunan, Netherlands menşeli harika bir ürün.",1440.12,300,13,Germany,https://picsum.photos/seed/114/200
115,Premium Köşe Koltuk,"Köşe Koltuk kategorisinde premium kalite sunan, Italy menşeli harika bir ürün.",18128.4,801,5,France,https://picsum.photos/seed/115/200
116,Orijinal Bilim Kitabı,"Bilim Kitabı kategorisinde orijinal kalite sunan, Türkiye menşeli harika bir ürün.",388.57,75,11,Germany,https://picsum.photos/seed/116/200
117,Premium Ceket,"Ceket kategorisinde premium kalite sunan, Türkiye menşeli harika bir ürün.",941.85,508,6,Türkiye,https://picsum.photos/seed/117/200
118,Premium Gardırop,"Gardırop kategorisinde premium kalite sunan, Germany menşeli harika bir ürün.",8187.92,9,5,Italy,https://picsum.photos/seed/118/200
119,Kompakt Akıllı Saat,"Akıllı Saat kategorisinde kompakt kalite sunan, France menşeli harika bir ürün.",18559.1,420,1,Italy,https://picsum.photos/seed/119/200
120,Orijinal Bilim Kitabı,"Bilim Kitabı kategorisinde orijinal kalite sunan, Italy menşeli harika bir ürün.",466.96,129,11,Türkiye,https://picsum.photos/seed/120/200
121,Kompakt Akıllı Saat,"Akıllı Saat kategorisinde kompakt kalite sunan, France menşeli harika bir ürün.",27024.2,569,1,Spain,https://picsum.photos/seed/121/200
122,Ekonomik Peluş Oyuncak,"Peluş Oyuncak kategorisinde ekonomik kalite sunan, Spain menşeli harika bir ürün.",3041.63,787,10,Netherlands,https://picsum.photos/seed/122/200
123,Ultra Lastik Parlatıcı,"Lastik Parlatıcı kategorisinde ultra kalite sunan, France menşeli harika bir ürün.",1161.12,14,12,Spain,https://picsum.photos/seed/123/200
124,Orijinal Tektaş Yüzük,"Tektaş Yüzük kategorisinde orijinal kalite sunan, Germany menşeli harika bir ürün.",9988.86,353,14,France,https://picsum.photos/seed/124/200
125,Ultra Köpek Tasması,"Köpek Tasması kategorisinde ultra kalite sunan, Türkiye menşeli harika bir ürün.",817.5,937,13,France,https://picsum.photos/seed/125/200
126,Kompakt Deri Saat,"Deri Saat kategorisinde kompakt kalite sunan, Türkiye menşeli harika bir ürün.",49284.42,809,14,Spain,https://picsum.photos/seed/126/200
127,Yeni Sezon Jant Kapağı,"Jant Kapağı kategorisinde yeni sezon kalite sunan, France menşeli harika bir ürün.",1310.87,367,12,Germany,https://picsum.photos/seed/127/200
128,Ekonomik Gardırop,"Gardırop kategorisinde ekonomik kalite sunan, France menşeli harika bir ürün.",5412.64,140,5,Italy,https://picsum.photos/seed/128/200
129,Ergonomik Güneş Kremi,"Güneş Kremi kategorisinde ergonomik kalite sunan, Netherlands menşeli harika bir ürün.",133.18,956,8,Netherlands,https://picsum.photos/seed/129/200
130,Yüksek Performanslı Pamuklu T-Shirt,"Pamuklu T-Shirt kategorisinde yüksek performanslı kalite sunan, Italy menşeli harika bir ürün.",961.6,421,6,Türkiye,https://picsum.photos/seed/130/200
131,Ergonomik Tektaş Yüzük,"Tektaş Yüzük kategorisinde ergonomik kalite sunan, Germany menşeli harika bir ürün.",31818.94,497,14,Spain,https://picsum.photos/seed/131/200
132,Yüksek Performanslı Dijital Kamera,"Dijital Kamera kategorisinde yüksek performanslı kalite sunan, Spain menşeli harika bir ürün.",8537.98,310,1,Türkiye,https://picsum.photos/seed/132/200
133,Lüks Kot Pantolon,"Kot Pantolon kategorisinde lüks kalite sunan, Spain menşeli harika bir ürün.",2648.57,172,6,France,https://picsum.photos/seed/133/200
134,Ekonomik Robot Süpürge,"Robot Süpürge kategorisinde ekonomik kalite sunan, Netherlands menşeli harika bir ürün.",7669.67,229,4,Spain,https://picsum.photos/seed/134/200
135,Ergonomik Mekanik Klavye,"Mekanik Klavye kategorisinde ergonomik kalite sunan, France menşeli harika bir ürün.",57854.99,28,2,Spain,https://picsum.photos/seed/135/200
136,Yüksek Performanslı Makyaj Seti,"Makyaj Seti kategorisinde yüksek performanslı kalite sunan, Spain menşeli harika bir ürün.",1452.05,513,8,Spain,https://picsum.photos/seed/136/200
137,Akıllı Motor Yağı,"Motor Yağı kategorisinde akıllı kalite sunan, Türkiye menşeli harika bir ürün.",1954.62,206,12,Türkiye,https://picsum.photos/seed/137/200
138,Kompakt Eğitici Oyun Seti,"Eğitici Oyun Seti kategorisinde kompakt kalite sunan, Spain menşeli harika bir ürün.",4936.58,849,10,Netherlands,https://picsum.photos/seed/138/200
139,Ekonomik Tektaş Yüzük,"Tektaş Yüzük kategorisinde ekonomik kalite sunan, Italy menşeli harika bir ürün.",46186.33,589,14,Germany,https://picsum.photos/seed/139/200
140,Yeni Sezon Akıllı Bileklik,"Akıllı Bileklik kategorisinde yeni sezon kalite sunan, Italy menşeli harika bir ürün.",23431.73,974,14,Netherlands,https://picsum.photos/seed/140/200
141,Ergonomik Bilim Kitabı,"Bilim Kitabı kategorisinde ergonomik kalite sunan, Spain menşeli harika bir ürün.",467.71,180,11,Türkiye,https://picsum.photos/seed/141/200
142,Orijinal Topuklu Ayakkabı,"Topuklu Ayakkabı kategorisinde orijinal kalite sunan, Germany menşeli harika bir ürün.",2415.93,764,7,France,https://picsum.photos/seed/142/200
143,Yüksek Performanslı Jant Kapağı,"Jant Kapağı kategorisinde yüksek performanslı kalite sunan, Germany menşeli harika bir ürün.",2311.07,2,12,Spain,https://picsum.photos/seed/143/200
144,Profesyonel Dijital Kamera,"Dijital Kamera kategorisinde profesyonel kalite sunan, France menşeli harika bir ürün.",15914.59,941,1,France,https://picsum.photos/seed/144/200
145,Ergonomik Dolma Kalem,"Dolma Kalem kategorisinde ergonomik kalite sunan, France menşeli harika bir ürün.",381.07,935,11,Türkiye,https://picsum.photos/seed/145/200
146,Ultra Tenis Raketi,"Tenis Raketi kategorisinde ultra kalite sunan, Spain menşeli harika bir ürün.",9452.88,252,9,Spain,https://picsum.photos/seed/146/200
147,Ergonomik USB Bellek,"USB Bellek kategorisinde ergonomik kalite sunan, France menşeli harika bir ürün.",32490.41,171,2,Italy,https://picsum.photos/seed/147/200
148,Ultra Tost Makinesi,"Tost Makinesi kategorisinde ultra kalite sunan, Germany menşeli harika bir ürün.",7014.87,607,4,Germany,https://picsum.photos/seed/148/200
149,Akıllı Kışlık Mont,"Kışlık Mont kategorisinde akıllı kalite sunan, Spain menşeli harika bir ürün.",777.84,687,6,Italy,https://picsum.photos/seed/149/200
150,Ultra Kışlık Mont,"Kışlık Mont kategorisinde ultra kalite sunan, Italy menşeli harika bir ürün.",1093.45,413,6,Türkiye,https://picsum.photos/seed/150/200
151,Dayanıklı Ukulele,"Ukulele kategorisinde dayanıklı kalite sunan, Germany menşeli harika bir ürün.",13039.3,743,15,Italy,https://picsum.photos/seed/151/200
152,Profesyonel Yüz Kremi,"Yüz Kremi kategorisinde profesyonel kalite sunan, Spain menşeli harika bir ürün.",1458.97,873,8,France,https://picsum.photos/seed/152/200
153,Lüks Peluş Oyuncak,"Peluş Oyuncak kategorisinde lüks kalite sunan, Germany menşeli harika bir ürün.",669.18,867,10,Netherlands,https://picsum.photos/seed/153/200
154,Ergonomik Günlük Sneaker,"Günlük Sneaker kategorisinde ergonomik kalite sunan, Germany menşeli harika bir ürün.",2087.16,896,7,Italy,https://picsum.photos/seed/154/200
155,Premium Oyun Laptopu,"Oyun Laptopu kategorisinde premium kalite sunan, France menşeli harika bir ürün.",9338.67,514,2,Italy,https://picsum.photos/seed/155/200
156,Ultra Topuklu Ayakkabı,"Topuklu Ayakkabı kategorisinde ultra kalite sunan, Spain menşeli harika bir ürün.",4664.78,40,7,Italy,https://picsum.photos/seed/156/200
